Date,Time,Symbol,Timeframe,Note,Exchange,Open,High,Low,Close,Volume,Change_Abs,Change_Pct,Amplitude_Abs,Range_Pct,Price_Sign,Body_Pct,Upper_Tail_Pct,Lower_Tail_Pct,CLV_Pct,Close_Pos,Dominant_Reject,Vol_Buy,Vol_Sell,Vol_Delta,Trade_Buy,Trade_Sell,Trade_Delta,ABV_Ratio_Pct,Trades_Ratio_Pct,Avg_Trade_Buy,Avg_Trade_Sell,Tilt_Pct,CVD_Pct,CVD_Sign,CVD_Small,Implied_Price,OI_Open,OI_High,OI_Low,OI_Close,OI_Units,DOI_Pct,POROG_DOI_Pct,r_Strength,epsilon,OE,OI_Pos,OI_Path,OI_Flow,OI_In_Sens,OI_Set,OI_Counter,OI_Unload,T_Set,T_Ctr,T_Unl,Liq_Long,Liq_Short,LiqShare_Pct,Limb,Liq_Squeeze,DPX,Price_vs_Delta,Ratio_Stable,Geo_Score,Flow_Score,Liq_Penalty,RQ_Calculated,X-RAY Report,Raw_Data
2025-12-02,20:01:00,ETH USDT Perp,1W,Batch Import,Binance,1596.93,1691.57,1537.56,1586.56,52130000000.0,-10.37,-0.65,154.01,9.71,-1.0,6.73,61.45,31.82,31.82,ниже середины диапазона,-,16160000.0,16310000.0,-153790.0,12620000.0,12490000.0,137510.0,-0.46,0.52,1.28,1.31,1.98,-0.47,-1.0,1.0,1605.48,1510000.0,1590000.0,1450000.0,1510000.0,contracts,0.0,1.55,0.0,0.51,0.0,0.43,neutral,закрытия,1.0,1.0,1.0,1.0,2.05,2.4,-2.25,23740000.0,17580000.0,0.08,-14.91,1.0,1.0,match,1.0,1.0,0.0,0.0,1.0,"ts: 02.12.2025 20:01
exchange: Binance
symbol: ETH USDT Perp
tf: 1W
open: 1596.93
high: 1691.57
low: 1537.56
close: 1586.56
volume: 52130000000.00
buy_volume: 16160000.00
sell_volume: 16310000.00
buy_trades: 12620000.00
sell_trades: 12490000.00
oi_open: 1510000.00
oi_high: 1590000.00
oi_low: 1450000.00
oi_close: 1510000.00
liq_long: 23740000.00
liq_short: 17580000.00
range: 154.01
body_pct: 6.73%
clv_pct: 31.82%
upper_tail_pct: 61.45%
lower_tail_pct: 31.82%
price_sign: -1
dominant_reject: -
cvd_pct: -0.47%
cvd_sign: -1
cvd_small: true
dpx: 1.00
price_vs_delta: match
dtrades_pct: 0.52%
ratio_stable: false
tilt_pct: 1.98%
doi_pct: 0.00%
oi_in_sens: true
oi_set: false
oi_counter: false
oi_unload: false
oipos: 0.43
oi_path: neutral
oe: 0.00
liqshare_pct: 0.08%
limb_pct: -14.91%
liq_squeeze: false
range_pct: 9.71%
implied_price: 1605.48
avg_trade_buy: 1.28
avg_trade_sell: 1.31","Binance · ETH USDT Perp · 1W O 1,596.93 H 1,691.57 L 1,537.56 C 1,586.56 V 52.13B Change -10.37(-0.65%) Amplitude 154.01(9.64%) Active Buy/Sell Volume Buy 16.16M Sell -16.31M Delta -153.79K Ratio -0.00 Active Buy/Sell Trades Buy 12.62M Sell -12.49M Delta 137.51K Ratio 0.01 Open Interest O 1.51M H 1.59M L 1.45M C 1.51M Liquidation Long 23.74M Short -17.58M"
2025-12-02,20:01:00,ETH USDT Perp,1W,Batch Import,Binance,2610.67,2819.35,2533.51,2744.47,40770000000.0,133.8,5.13,285.84,10.42,1.0,46.81,26.2,26.99,73.8,выше середины диапазона,-,7630000.0,7680000.0,-55430.0,9680000.0,9600000.0,81580.0,-0.33,0.41,0.79,0.8,1.49,-0.36,-1.0,1.0,2662.97,781920.0,823020.0,752100.0,771570.0,contracts,-1.32,1.55,0.85,0.51,0.26,0.27,down,закрытия,1.0,1.0,1.0,1.0,2.05,2.4,-2.25,30410000.0,29650000.0,0.15,-1.27,1.0,-1.0,div,1.0,1.0,2.0,0.0,3.0,"ts: 02.12.2025 20:01
exchange: Binance
symbol: ETH USDT Perp
tf: 1W
open: 2610.67
high: 2819.35
low: 2533.51
close: 2744.47
volume: 40770000000.00
buy_volume: 7630000.00
sell_volume: 7680000.00
buy_trades: 9680000.00
sell_trades: 9600000.00
oi_open: 781920.00
oi_high: 823020.00
oi_low: 752100.00
oi_close: 771570.00
liq_long: 30410000.00
liq_short: 29650000.00
range: 285.84
body_pct: 46.81%
clv_pct: 73.80%
upper_tail_pct: 26.20%
lower_tail_pct: 26.99%
price_sign: 1
dominant_reject: -
cvd_pct: -0.36%
cvd_sign: -1
cvd_small: true
dpx: -1.00
price_vs_delta: div
dtrades_pct: 0.41%
ratio_stable: false
tilt_pct: 1.49%
doi_pct: -1.32%
oi_in_sens: true
oi_set: false
oi_counter: false
oi_unload: false
oipos: 0.27
oi_path: down
oe: 0.26
liqshare_pct: 0.15%
limb_pct: -1.27%
liq_squeeze: false
range_pct: 10.42%
implied_price: 2662.97
avg_trade_buy: 0.79
avg_trade_sell: 0.80","Binance · ETH USDT Perp · 1W O 2,610.67 H 2,819.35 L 2,533.51 C 2,744.47 V 40.77B Change +133.80(+5.13%) Amplitude 285.84(10.95%) Active Buy/Sell Volume Buy 7.63M Sell -7.68M Delta -55.43K Ratio -0.00 Active Buy/Sell Trades Buy 9.68M Sell -9.60M Delta 81.58K Ratio 0.00 Open Interest O 781.92K H 823.02K L 752.10K C 771.57K Liquidation Long 30.41M Short -29.65M"
2025-12-02,20:01:00,ETH USDT Perp,1W,Batch Import,Binance,2687.6,2723.77,2112.0,2554.65,85280000000.0,-132.95,-4.95,611.77,23.95,-1.0,21.73,5.91,72.36,72.36,выше середины диапазона,bull_Loose,17170000.0,17560000.0,-382050.0,21770000.0,21680000.0,90480.0,-1.12,0.21,0.79,0.81,2.7,-1.1,-1.0,1.0,2455.51,908250.0,962720.0,767660.0,812550.0,contracts,-10.54,1.55,6.8,0.51,2.13,0.23,down,закрытия,1.0,1.0,1.0,1.0,2.05,2.4,-2.25,62490000.0,61850000.0,0.15,-0.51,1.0,1.0,match,1.0,0.0,2.0,0.0,2.0,"ts: 02.12.2025 20:01
exchange: Binance
symbol: ETH USDT Perp
tf: 1W
open: 2687.60
high: 2723.77
low: 2112.00
close: 2554.65
volume: 85280000000.00
buy_volume: 17170000.00
sell_volume: 17560000.00
buy_trades: 21770000.00
sell_trades: 21680000.00
oi_open: 908250.00
oi_high: 962720.00
oi_low: 767660.00
oi_close: 812550.00
liq_long: 62490000.00
liq_short: 61850000.00
range: 611.77
body_pct: 21.73%
clv_pct: 72.36%
upper_tail_pct: 5.91%
lower_tail_pct: 72.36%
price_sign: -1
dominant_reject: bull_Loose
cvd_pct: -1.10%
cvd_sign: -1
cvd_small: false
dpx: 1.00
price_vs_delta: match
dtrades_pct: 0.21%
ratio_stable: false
tilt_pct: 2.70%
doi_pct: -10.54%
oi_in_sens: false
oi_set: false
oi_counter: false
oi_unload: true
oipos: 0.23
oi_path: down
oe: 2.13
liqshare_pct: 0.15%
limb_pct: -0.51%
liq_squeeze: false
range_pct: 23.95%
implied_price: 2455.51
avg_trade_buy: 0.79
avg_trade_sell: 0.81","Binance · ETH USDT Perp · 1W O 2,687.60 H 2,723.77 L 2,112.00 C 2,554.65 V 85.28B Change -132.95(-4.95%) Amplitude 611.77(22.76%) Active Buy/Sell Volume Buy 17.17M Sell -17.56M Delta -382.05K Ratio -0.01 Active Buy/Sell Trades Buy 21.77M Sell -21.68M Delta 90.48K Ratio 0.00 Open Interest O 908.25K H 962.72K L 767.66K C 812.55K Liquidation Long 62.49M Short -61.85M"
